,bowlerName,total_ball,runs
0,AndreRussell,374,638
1,AnrichNortje,556,768
2,ArshdeepSingh,853,1220
3,AveshKhan,802,1115
4,AxarPatel,792,939
5,BhuvneshwarKumar,871,1143
6,ChrisJordan,281,468
7,GlennMaxwell,302,394
8,HarpreetBrar,397,503
9,HarshalPatel,941,1323
10,JasonHolder,611,922
11,KagisoRabada,744,1069
12,KhaleelAhmed,571,793
13,KrunalPandya,679,843
14,LalitYadav,270,369
15,MoeenAli,427,501
16,MohammedShami,1072,1405
17,MohammedSiraj,918,1242
18,RahulChahar,836,1063
19,RashidKhan,1097,1317
20,RaviBishnoi,843,1077
21,RavichandranAshwin,940,1175
22,RavindraJadeja,816,1014
23,RileyMeredith,388,612
24,SandeepSharma,537,752
25,ShardulThakur,775,1220
26,SunilNarine,960,1056
27,TrentBoult,908,1210
28,UmranMalik,487,757
29,VarunChakravarthy,958,1209
30,WashingtonSundar,370,503
31,YuzvendraChahal,1043,1333
